entity,symbol,source,description
UNDOF,350 (1974),Security Council resolutions,"The mandate of the United Nations Disengagement Observer Force (UNDOF) was established by the Security Council in its resolution 350 (1974)."
UNDOF,2811 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2811 (2025), by which it extended the Force's mandate until 30 June 2026."
UNFICYP,186 (1964),Security Council resolutions,"The mandate of UNFICYP was established by the Security Council in its resolution 186 (1964)."
UNFICYP,2815 (2026),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2815 (2026), by which it extended the mandate until 31 January 2027."
UNIFIL,425 (1978),Security Council resolutions,"The mandate of the United Nations Interim Force in Lebanon (UNIFIL) was established by the Security Council in its resolutions 425 (1978) and 426 (1978)."
UNIFIL,426 (1978),Security Council resolutions,"The mandate of the United Nations Interim Force in Lebanon (UNIFIL) was established by the Security Council in its resolutions 425 (1978) and 426 (1978)."
UNIFIL,1701 (2006),Security Council resolutions,"The mandate was expanded by the Security Council in its resolution 1701 (2006)."
UNIFIL,2790 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2790 (2025), by which it extended the mandate for a final time until 31 December 2026."
UNISFA,1990 (2011),Security Council resolutions,"The mandate of UNISFA was established by the Security Council in its resolution 1990 (2011)."
UNISFA,2802 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2802 (2025), by which it extended the mandate until 15 November 2026."
UNMIK,1244 (1999),Security Council resolutions,"The mandate of UNMIK was established by the Security Council in its resolution 1244 (1999)."
UNSOS,1863 (2009),Security Council resolutions,"UNSOS was established by the Security Council in its resolution 1863 (2009) to provide support to the African Union Mission in Somalia."
UNSOS,2124 (2013),Security Council resolutions,"The United Nations Guard Unit was authorized by the Security Council in its resolution 2124 (2013)."
UNSOS,2809 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2809 (2025), by which it extended the mandate until 31 December 2026."
UNSOH,2793 (2025),Security Council resolutions,"The mandate of UNSOH was established by the Security Council in its resolution 2793 (2025)."
UNSOH,2814 (2026),Security Council resolutions,"UNSOH will provide mission support services to BINUH in support of the delivery of its mandate, as extended in resolution 2814 (2026)."
MONUSCO,1925 (2010),Security Council resolutions,"The mandate of MONUSCO was established by the Security Council in its resolution 1925 (2010)."
MONUSCO,2773 (2025),Security Council resolutions,"In the 2026/27 period, the strategic priorities of the Mission include the achievement of the objectives set out in Security Council resolution 2773 (2025)."
MONUSCO,2808 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2808 (2025), by which it extended the mandate until 20 December 2026."
MINUSCA,2149 (2014),Security Council resolutions,"The mandate of MINUSCA was established by the Security Council in its resolution 2149 (2014)."
MINUSCA,2800 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2800 (2025), by which it extended the mandate until 15 November 2026."
MINUSMA,2100 (2013),Security Council resolutions,"The mandate of MINUSMA was established by the Security Council in its resolution 2100 (2013)."
MINUSMA,2690 (2023),Security Council resolutions,"The Security Council, in paragraph 1 of resolution 2690 (2023), decided to terminate the mandate of MINUSMA as from 30 June 2023."
MINURSO,690 (1991),Security Council resolutions,"The mandate of MINURSO was established by the Security Council in its resolution 690 (1991)."
MINURSO,2797 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2797 (2025), by which it extended the mandate until 31 October 2026."
UNMISS,1996 (2011),Security Council resolutions,"The mandate of UNMISS was established by the Security Council in its resolution 1996 (2011)."
UNMISS,2779 (2025),Security Council resolutions,"The most recent extension of the mandate was authorized by the Council in its resolution 2779 (2025), by which it extended the mandate until 30 April 2026."
UNLB,49/233,General Assembly resolutions,"In its resolution 49/233 A of 23 December 1994, the General Assembly welcomed the establishment of the first permanent United Nations logistics base in Brindisi, Italy, to support peacekeeping operations."
UNLB,63/262,General Assembly resolutions,"In its resolution 63/262 of 24 December 2008, the General Assembly approved the establishment of site B, in Valencia, Spain, as a secondary active telecommunications and information technology facility."
UNLB,72/266 B,General Assembly resolutions,"UNLB is mandated to serve all field missions, Secretariat entities, and United Nations system entities, pursuant to General Assembly resolution 72/266 B on shifting the management paradigm in the United Nations."
UNLB,78/295,General Assembly resolutions,"The Advisory Committee's recommendations were endorsed by the General Assembly in its resolution 78/295."
RSCE,64/269,General Assembly resolutions,"The Regional Service Centre in Entebbe (RSCE) was established in July 2010, by the General Assembly in its resolution 64/269, as a shared service centre for missions in the region."
RSCE,78/294,General Assembly resolutions,"The Centre's mandate was expanded to provide additional services to other entities, including the African Union, following the adoption by the General Assembly of its resolution 78/294."
